 arm  n   xa     ya
  1   1  -0.000   3.480
  1   2  -0.088   3.500
  1   3  -0.177   3.518
  1   4  -0.266   3.533
  1   5  -0.357   3.546
  1   6  -0.448   3.557
  1   7  -0.541   3.566
  1   8  -0.634   3.572
  1   9  -0.727   3.576
  1  10  -0.821   3.577
  1  11  -0.916   3.576
  1  12  -1.012   3.573
  1  13  -1.107   3.568
  1  14  -1.203   3.559
  1  15  -1.300   3.549
  1  16  -1.397   3.536
  1  17  -1.494   3.521
  1  18  -1.591   3.503
  1  19  -1.688   3.482
  1  20  -1.785   3.459
  1  21  -1.883   3.433
  1  22  -1.980   3.405
  1  23  -2.077   3.374
  1  24  -2.174   3.341
  1  25  -2.270   3.305
  1  26  -2.366   3.266
  1  27  -2.462   3.225
  1  28  -2.557   3.181
  1  29  -2.651   3.134
  1  30  -2.745   3.085
  1  31  -2.839   3.033
  1  32  -2.931   2.978
  1  33  -3.022   2.921
  1  34  -3.113   2.861
  1  35  -3.203   2.799
  1  36  -3.291   2.733
  1  37  -3.379   2.666
  1  38  -3.465   2.595
  1  39  -3.550   2.523
  1  40  -3.633   2.447
  1  41  -3.715   2.369
  1  42  -3.796   2.289
  1  43  -3.875   2.206
  1  44  -3.952   2.121
  1  45  -4.028   2.033
  1  46  -4.102   1.943
  1  47  -4.173   1.850
  1  48  -4.244   1.755
  1  49  -4.312   1.658
  1  50  -4.378   1.558
  1  51  -4.441   1.457
  1  52  -4.503   1.353
  1  53  -4.562   1.247
  1  54  -4.619   1.139
  1  55  -4.674   1.029
  1  56  -4.726   0.917
  1  57  -4.776   0.802
  1  58  -4.823   0.687
  1  59  -4.867   0.569
  1  60  -4.909   0.449
  1  61  -4.947   0.328
  1  62  -4.983   0.205
  1  63  -5.017   0.080
  1  64  -5.047  -0.046
  1  65  -5.074  -0.173
  1  66  -5.098  -0.302
  1  67  -5.119  -0.432
  1  68  -5.136  -0.564
  1  69  -5.151  -0.697
  1  70  -5.162  -0.831
  1  71  -5.170  -0.965
  1  72  -5.175  -1.101
  1  73  -5.176  -1.238
  1  74  -5.174  -1.375
  1  75  -5.168  -1.514
  1  76  -5.159  -1.652
  1  77  -5.146  -1.792
  1  78  -5.130  -1.932
  1  79  -5.110  -2.072
  1  80  -5.086  -2.212
  1  81  -5.059  -2.353
  1  82  -5.028  -2.494
  1  83  -4.993  -2.635
  1  84  -4.955  -2.775
  1  85  -4.912  -2.916
  1  86  -4.866  -3.056
  1  87  -4.817  -3.196
  1  88  -4.763  -3.335
  1  89  -4.706  -3.474
  1  90  -4.644  -3.612
  1  91  -4.579  -3.750
  1  92  -4.510  -3.886
  1  93  -4.437  -4.022
  1  94  -4.361  -4.156
  1  95  -4.280  -4.289
  1  96  -4.196  -4.421
  1  97  -4.108  -4.552
  1  98  -4.016  -4.681
  1  99  -3.921  -4.809
  1 100  -3.822  -4.934
  1 101  -3.719  -5.058
  1 102  -3.612  -5.181
  1 103  -3.501  -5.301
  1 104  -3.387  -5.419
  1 105  -3.270  -5.534
  1 106  -3.148  -5.648
  1 107  -3.023  -5.759
  1 108  -2.895  -5.867
  1 109  -2.763  -5.973
  1 110  -2.628  -6.077
  1 111  -2.490  -6.177
  1 112  -2.348  -6.274
  1 113  -2.203  -6.369
  1 114  -2.054  -6.460
  1 115  -1.903  -6.548
  1 116  -1.748  -6.633
  1 117  -1.591  -6.714
  1 118  -1.431  -6.792
